Link,Title,Location,Summary
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47274091,복지용구1위기업 (주)조아 경영관리팀 회계 신입 및 경력 채용,경기광명시,"경리, 경리사무원, 4대보험, 관리회계, 기업회계 외 수정일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371251,외국계도장설비기업-컨베이어 설계 엔지니어,서울구로구,"기술엔지니어, 설계엔지니어, 기계설계, 기구설계, 기술설계 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47395951,Senior Cloud Infrastructure Specialist,서울전체,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 인프라, DevOps 외 등록일 24/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371242,외국계도장설비기업-전기설계 엔지니어,서울구로구,"기술엔지니어, 설계엔지니어, 기술설계, 자동화설계, 전기설계 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47387110,Corporate Development Specialist Lead(실장) 모집,서울강남구,"경영기획, 경영분석, 경영관리, 전략기획, CEO 외 수정일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47125885,[특허법인 IPLAY] 스타트업의 CIPO가 되어줄 분을 찾습니다-전자,서울강남구,"변리사, 특허분석, 특허컨설팅, 법률사무소, 로펌 외 등록일 23/12/06"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47294452,BD팀 (팀원) 채용,경기용인시 수지구,"영업마케팅, 제약영업, B2B, 제약/바이오, 사업개발 외 등록일 24/01/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47390812,Freelance Artist and Repertoire (A&R) Manager,서울마포구,"음반기획, 엔터테인먼트, A&R, 엔터테인먼트 등록일 24/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47377324,HR Specialist (사원대리급)-글로벌 패션 브랜드 보유 기업,서울강남구,"인사기획, 인사행정, 인사, 의류·의상 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47026396,미국 Business Development Manager 채용,서울서초구,"영업전략, B2B, 기업영업, 바이어발굴/관리, 실적관리 외 등록일 23/11/21"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47076756,[WWF-Korea] Sustainable Finance Programme Officer 채용,서울종로구,"전략기획, 컨설턴트, 기업금융, 기업분석, 일반은행 외 등록일 23/11/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47403601,[존슨앤드존슨 메드테크] Sr. RA Specialist-육아휴직 대체 계약,서울용산구,"RA, 의약·제약, 의료·보건, 바이오 등록일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47384599,[존슨앤드존슨 메디칼] Sr. Professional Sales Representative,서울용산구,"영업관리, 고객관리, 영업, 의약·제약, 의료·보건 외 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47133728,[BD Korea] Marketing Specialist (혈액학/Hematology),서울강남구,"혈액종양내과, 의료기기영업, 제약영업, 분자진단, 생명과학 외 등록일 23/12/07"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47195328,"[BD Korea] Business Development (B2B, Chronic, CDMO)",서울강남구,"솔루션기술영업, 의료기기영업, B2B, 기업영업, 바이러스 외 등록일 23/12/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47118114,[TE 커넥티비티] Demand Analyst,서울송파구,"데이터분석가, SAP, 자동제어 수정일 24/01/01"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47299292,[외국계 화학] 각 부문 신입/경력 채용,서울송파구,"백엔드/서버개발, 보안컨설팅, 유지보수, 정보보안, 네트워크 외 수정일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47228610,[한국하니웰] 가스탐지기 세일즈 (신입가능),서울마포구,"기술영업, 건설영업, 솔루션기술영업, 시스템영업, 기업영업 외 수정일 23/12/22"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47332473,Automated Vehicle Safety Engineer,서울종로구,"인증심사원, 품질보증, 자동차, 컨설팅 등록일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47354411,슈나이더일렉트릭 물류 통관 Transportation Manager,서울강서구,"통관, 물류관리, 물류사무원, 국제물류, 물류기획 외 수정일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47170355,(주)트렉시 B2B팀 영업 AMD 채용,서울마포구,"영업관리, 영업지원, 매출관리, 주문관리, 구매관리 외 수정일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47402853,[존슨앤드존슨 메드테크] Marketing/Sales Coordinator (계약직),서울용산구,"총무, 비품관리, 영업지원, 의약·제약, 의료·보건 외 등록일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47155940,"Site Controller, Korea",서울강남구,"관리회계, 기업회계, 손익관리, 회계, 화공 수정일 23/12/14"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47355857,[메드트로닉코리아] 계약직채용 Sales Operation Specialist,서울강남구,"경영기획, 마케팅기획, 유통업, 수입유통 등록일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47355806,[한국필립모리스] Manager Consumer Insights,서울영등포구,"데이터분석가, 데이터시각화, 빅데이터, 리서치, 시장조사 외 등록일 24/01/11"
